uniprot_id;protein_class;l3;l4;l5
Q8WUI4;Epigenetic regulator;Histone deacetylase;HDAC class IIa;NULL
Q92769;Epigenetic regulator;Histone deacetylase;HDAC class I;NULL
Q969S8;Epigenetic regulator;Histone deacetylase;HDAC class IIb;NULL
Q96DB2;Epigenetic regulator;Histone deacetylase;HDAC class IV;NULL
Q96EB6;Epigenetic regulator;Histone deacetylase;HDAC class III;NULL
Q9BY41;Epigenetic regulator;Histone deacetylase;HDAC class I;NULL
Q9NTG7;Epigenetic regulator;Histone deacetylase;HDAC class III;NULL
Q9NXA8;Epigenetic regulator;Histone deacetylase;HDAC class III;NULL
Q9UBN7;Epigenetic regulator;Histone deacetylase;HDAC class IIb;NULL
Q9UKV0;Epigenetic regulator;Histone deacetylase;HDAC class IIa;NULL
Q9UQL6;Epigenetic regulator;Histone deacetylase;HDAC class IIa;NULL
P41180;GPCR;Ion receptor (family C GPCR);Calcium sensing receptor;Calcium sensing receptor
P39086;Ion channel;Ionotropic glutamate receptor;Kainate receptor;NULL
P42261;Ion channel;Ionotropic glutamate receptor;AMPA receptor;NULL
P42262;Ion channel;Ionotropic glutamate receptor;AMPA receptor;NULL
P42263;Ion channel;Ionotropic glutamate receptor;AMPA receptor;NULL
P48058;Ion channel;Ionotropic glutamate receptor;AMPA receptor;NULL
Q05586;Ion channel;Ionotropic glutamate receptor;NMDA receptor;NULL
Q13002;Ion channel;Ionotropic glutamate receptor;Kainate receptor;NULL
Q13003;Ion channel;Ionotropic glutamate receptor;Kainate receptor;NULL
Q13224;Ion channel;Ionotropic glutamate receptor;NMDA receptor;NULL
Q16478;Ion channel;Ionotropic glutamate receptor;Kainate receptor;NULL
O60341;Epigenetic regulator;Lysine demethylase;Lysine-specific demethylase;NULL
O75164;Epigenetic regulator;Lysine demethylase;Jumonji domain-containing;NULL
Q8NB78;Epigenetic regulator;Lysine demethylase;Lysine-specific demethylase;NULL
Q9H3R0;Epigenetic regulator;Lysine demethylase;Jumonji domain-containing;NULL
O14672;Enzyme;Metallo protease;Metallo protease MAM clan;Metallo protease M12B subfamily
O75173;Enzyme;Metallo protease;Metallo protease MAM clan;Metallo protease M12B subfamily
P03956;Enzyme;Metallo protease;Metallo protease MAM clan;Metallo protease M10A subfamily
P08253;Enzyme;Metallo protease;Metallo protease MAM clan;Metallo protease M10A subfamily
P08254;Enzyme;Metallo protease;Metallo protease MAM clan;Metallo protease M10A subfamily
P08473;Enzyme;Metallo protease;Metallo protease MAE clan;Metallo protease M13 family
P09237;Enzyme;Metallo protease;Metallo protease MAM clan;Metallo protease M10A subfamily
P09238;Enzyme;Metallo protease;Metallo protease MAM clan;Metallo protease M10A subfamily
P09960;Enzyme;Metallo protease;Metallo protease MAE clan;Metallo protease M1 family
P12821;Enzyme;Metallo protease;Metallo protease MAE clan;Metallo protease M2 family
P12955;Enzyme;Metallo protease;Metallo protease MG clan;Metallo protease M24B subfamily
P14780;Enzyme;Metallo protease;Metallo protease MAM clan;Metallo protease M10A subfamily
P15144;Enzyme;Metallo protease;Metallo protease MAE clan;Metallo protease M1 family
P22894;Enzyme;Metallo protease;Metallo protease MAM clan;Metallo protease M10A subfamily
P28838;Enzyme;Metallo protease;Metallo protease MF clan;Metallo protease M17 family
P39900;Enzyme;Metallo protease;Metallo protease MAM clan;Metallo protease M10A subfamily
P42892;Enzyme;Metallo protease;Metallo protease MAE clan;Metallo protease M13 family
P45452;Enzyme;Metallo protease;Metallo protease MAM clan;Metallo protease M10A subfamily
P50281;Enzyme;Metallo protease;Metallo protease MAM clan;Metallo protease M10A subfamily
P50579;Enzyme;Metallo protease;Metallo protease MG clan;Metallo protease M24A subfamily
P51511;Enzyme;Metallo protease;Metallo protease MAM clan;Metallo protease M10A subfamily
P51512;Enzyme;Metallo protease;Metallo protease MAM clan;Metallo protease M10A subfamily
P53582;Enzyme;Metallo protease;Metallo protease MG clan;Metallo protease M24A subfamily
P78536;Enzyme;Metallo protease;Metallo protease MAM clan;Metallo protease M12B subfamily
Q04609;Enzyme;Metallo protease;Metallo protease MH clan;Metallo protease M28 family
Q9H4A4;Enzyme;Metallo protease;Metallo protease MAE clan;Metallo protease M1 family
Q9NRE1;Enzyme;Metallo protease;Metallo protease MAM clan;Metallo protease M10A subfamily
Q9NY33;Enzyme;Metallo protease;Metallo protease MAE clan;Metallo protease M49 family
Q9NZ08;Enzyme;Metallo protease;Metallo protease MAE clan;Metallo protease M1 family
Q9UNA0;Enzyme;Metallo protease;Metallo protease MAM clan;Metallo protease M12B subfamily
Q9Y5R2;Enzyme;Metallo protease;Metallo protease MAM clan;Metallo protease M10A subfamily
O75164;Epigenetic regulator;Methyl-lysine/arginine binding protein;Tudor domain;NULL
P83916;Epigenetic regulator;Methyl-lysine/arginine binding protein;Chromodomain;NULL
Q05BQ5;Epigenetic regulator;Methyl-lysine/arginine binding protein;MBT domain;NULL
Q16637;Epigenetic regulator;Methyl-lysine/arginine binding protein;Tudor domain;NULL
Q8NA19;Epigenetic regulator;Methyl-lysine/arginine binding protein;MBT domain;NULL
Q96JM7;Epigenetic regulator;Methyl-lysine/arginine binding protein;MBT domain;NULL
Q96T88;Epigenetic regulator;Methyl-lysine/arginine binding protein;Tudor domain;NULL
Q99549;Epigenetic regulator;Methyl-lysine/arginine binding protein;Chromodomain;NULL
Q9H3R0;Epigenetic regulator;Methyl-lysine/arginine binding protein;Tudor domain;NULL
Q9Y468;Epigenetic regulator;Methyl-lysine/arginine binding protein;MBT domain;NULL
P10415;Ion channel;Miscellaneous ion channel;Bcl-2 family;NULL
Q07817;Ion channel;Miscellaneous ion channel;Bcl-2 family;NULL
P02708;Ion channel;Nicotinic acetylcholine receptor;Nicotinic acetylcholine receptor alpha subunit;NULL
P32297;Ion channel;Nicotinic acetylcholine receptor;Nicotinic acetylcholine receptor alpha subunit;NULL
P36544;Ion channel;Nicotinic acetylcholine receptor;Nicotinic acetylcholine receptor alpha subunit;NULL
P43681;Ion channel;Nicotinic acetylcholine receptor;Nicotinic acetylcholine receptor alpha subunit;NULL
Q04844;Ion channel;Nicotinic acetylcholine receptor;Nicotinic acetylcholine receptor epsilon subunit;NULL
P51843;Nuclear receptor;Nuclear hormone receptor subfamily 0;Nuclear hormone receptor subfamily 0 group B;Nuclear hormone receptor subfamily 0 group B member 1
O75469;Nuclear receptor;Nuclear hormone receptor subfamily 1;Nuclear hormone receptor subfamily 1 group I;Nuclear hormone receptor subfamily 1 group I member 2
P10276;Nuclear receptor;Nuclear hormone receptor subfamily 1;Nuclear hormone receptor subfamily 1 group B;Nuclear hormone receptor subfamily 1 group B member 1
P10826;Nuclear receptor;Nuclear hormone receptor subfamily 1;Nuclear hormone receptor subfamily 1 group B;Nuclear hormone receptor subfamily 1 group B member 2
P10827;Nuclear receptor;Nuclear hormone receptor subfamily 1;Nuclear hormone receptor subfamily 1 group A;Nuclear hormone receptor subfamily 1 group A member 1
P10828;Nuclear receptor;Nuclear hormone receptor subfamily 1;Nuclear hormone receptor subfamily 1 group A;Nuclear hormone receptor subfamily 1 group A member 2
P11473;Nuclear receptor;Nuclear hormone receptor subfamily 1;Nuclear hormone receptor subfamily 1 group I;Nuclear hormone receptor subfamily 1 group I member 1
P13631;Nuclear receptor;Nuclear hormone receptor subfamily 1;Nuclear hormone receptor subfamily 1 group B;Nuclear hormone receptor subfamily 1 group B member 3
P35398;Nuclear receptor;Nuclear hormone receptor subfamily 1;Nuclear hormone receptor subfamily 1 group F;Nuclear hormone receptor subfamily 1 group F member 1
P37231;Nuclear receptor;Nuclear hormone receptor subfamily 1;Nuclear hormone receptor subfamily 1 group C;Nuclear hormone receptor subfamily 1 group C member 3
P51449;Nuclear receptor;Nuclear hormone receptor subfamily 1;Nuclear hormone receptor subfamily 1 group F;Nuclear hormone receptor subfamily 1 group F member 3
P55055;Nuclear receptor;Nuclear hormone receptor subfamily 1;Nuclear hormone receptor subfamily 1 group H;Nuclear hormone receptor subfamily 1 group H member 3
Q03181;Nuclear receptor;Nuclear hormone receptor subfamily 1;Nuclear hormone receptor subfamily 1 group C;Nuclear hormone receptor subfamily 1 group C member 2
Q07869;Nuclear receptor;Nuclear hormone receptor subfamily 1;Nuclear hormone receptor subfamily 1 group C;Nuclear hormone receptor subfamily 1 group C member 1
Q13133;Nuclear receptor;Nuclear hormone receptor subfamily 1;Nuclear hormone receptor subfamily 1 group H;Nuclear hormone receptor subfamily 1 group H member 3
Q14994;Nuclear receptor;Nuclear hormone receptor subfamily 1;Nuclear hormone receptor subfamily 1 group I;Nuclear hormone receptor subfamily 1 group I member 3
Q92753;Nuclear receptor;Nuclear hormone receptor subfamily 1;Nuclear hormone receptor subfamily 1 group F;NULL
Q96RI1;Nuclear receptor;Nuclear hormone receptor subfamily 1;Nuclear hormone receptor subfamily 1 group H;Nuclear hormone receptor subfamily 1 group H member 4
P19793;Nuclear receptor;Nuclear hormone receptor subfamily 2;Nuclear hormone receptor subfamily 2 group B;Nuclear hormone receptor subfamily 2 group B member 1
P24468;Nuclear receptor;Nuclear hormone receptor subfamily 2;Nuclear hormone receptor subfamily 2 group F;Nuclear hormone receptor subfamily 2 group F member 2
P28702;Nuclear receptor;Nuclear hormone receptor subfamily 2;Nuclear hormone receptor subfamily 2 group B;Nuclear hormone receptor subfamily 2 group B member 2
P48443;Nuclear receptor;Nuclear hormone receptor subfamily 2;Nuclear hormone receptor subfamily 2 group B;Nuclear hormone receptor subfamily 2 group B member 3
P49116;Nuclear receptor;Nuclear hormone receptor subfamily 2;Nuclear hormone receptor subfamily 2 group C;Nuclear hormone receptor subfamily 2 group C member 2
Q9Y5X4;Nuclear receptor;Nuclear hormone receptor subfamily 2;Nuclear hormone receptor subfamily 2 group E;Nuclear hormone receptor subfamily 2 group E member 3
O95718;Nuclear receptor;Nuclear hormone receptor subfamily 3;Nuclear hormone receptor subfamily 3 group B;Nuclear hormone receptor subfamily 3 group B member 2
P03372;Nuclear receptor;Nuclear hormone receptor subfamily 3;Nuclear hormone receptor subfamily 3 group A;Nuclear hormone receptor subfamily 3 group A member 1
P04150;Nuclear receptor;Nuclear hormone receptor subfamily 3;Nuclear hormone receptor subfamily 3 group C;Nuclear hormone receptor subfamily 3 group C member 1
P06401;Nuclear receptor;Nuclear hormone receptor subfamily 3;Nuclear hormone receptor subfamily 3 group C;Nuclear hormone receptor subfamily 3 group C member 3
P08235;Nuclear receptor;Nuclear hormone receptor subfamily 3;Nuclear hormone receptor subfamily 3 group C;Nuclear hormone receptor subfamily 3 group C member 2
P10275;Nuclear receptor;Nuclear hormone receptor subfamily 3;Nuclear hormone receptor subfamily 3 group C;Nuclear hormone receptor subfamily 3 group C member 4
P11474;Nuclear receptor;Nuclear hormone receptor subfamily 3;Nuclear hormone receptor subfamily 3 group B;Nuclear hormone receptor subfamily 3 group B member 1
P62508;Nuclear receptor;Nuclear hormone receptor subfamily 3;Nuclear hormone receptor subfamily 3 group B;Nuclear hormone receptor subfamily 3 group B member 3
Q92731;Nuclear receptor;Nuclear hormone receptor subfamily 3;Nuclear hormone receptor subfamily 3 group A;Nuclear hormone receptor subfamily 3 group A member 2
P22736;Nuclear receptor;Nuclear hormone receptor subfamily 4;Nuclear hormone receptor subfamily 4 group A;Nuclear hormone receptor subfamily 4 group A member 1
O00482;Nuclear receptor;Nuclear hormone receptor subfamily 5;Nuclear hormone receptor subfamily 5 group A;Nuclear hormone receptor subfamily 5 group A member 2
Q13285;Nuclear receptor;Nuclear hormone receptor subfamily 5;Nuclear hormone receptor subfamily 5 group A;Nuclear hormone receptor subfamily 5 group A member 1
O00142;Enzyme;NULL;NULL;NULL
O00167;Enzyme;NULL;NULL;NULL
O00182;Other proteins;NULL;NULL;NULL
O00206;GPCR;NULL;NULL;NULL
O00214;Other proteins;NULL;NULL;NULL
O00255;Other proteins;NULL;NULL;NULL
O00329;Kinase;NULL;NULL;NULL
O00443;Enzyme;NULL;NULL;NULL
O00487;Enzyme;NULL;NULL;NULL
O00519;Enzyme;NULL;NULL;NULL
O00571;Enzyme;NULL;NULL;NULL
O00748;Enzyme;NULL;NULL;NULL
O00750;Kinase;NULL;NULL;NULL
O00754;Enzyme;NULL;NULL;NULL
O14684;Enzyme;NULL;NULL;NULL
O14727;Other proteins;NULL;NULL;NULL
O14746;Enzyme;NULL;NULL;NULL
O14763;GPCR;NULL;NULL;NULL
O14924;Other proteins;NULL;NULL;NULL
O14936;Kinase;NULL;NULL;NULL
O14939;Enzyme;NULL;NULL;NULL
O14980;Other proteins;NULL;NULL;NULL
O15118;Other proteins;NULL;NULL;NULL
O15151;Other proteins;NULL;NULL;NULL
O15197;Kinase;NULL;NULL;NULL
O15296;Enzyme;NULL;NULL;NULL
O15297;Enzyme;NULL;NULL;NULL
O15392;Other proteins;NULL;NULL;NULL
O15496;Enzyme;NULL;NULL;NULL
O43172;Other proteins;NULL;NULL;NULL
O43194;GPCR;NULL;NULL;NULL
O43280;Enzyme;NULL;NULL;NULL
O43451;Enzyme;NULL;NULL;NULL
O43521;Other proteins;NULL;NULL;NULL
O43570;Enzyme;NULL;NULL;NULL
O43598;Other proteins;NULL;NULL;NULL
O43683;Enzyme;NULL;NULL;NULL
O60218;Enzyme;NULL;NULL;NULL
O60240;Other proteins;NULL;NULL;NULL
O60256;Enzyme;NULL;NULL;NULL
O60331;Kinase;NULL;NULL;NULL
O60503;Enzyme;NULL;NULL;NULL
O60563;Other proteins;NULL;NULL;NULL
O60656;Enzyme;NULL;NULL;NULL
O60725;Enzyme;NULL;NULL;NULL
O60760;Enzyme;NULL;NULL;NULL
O60882;Enzyme;NULL;NULL;NULL
O75030;Other proteins;NULL;NULL;NULL
O75460;Kinase;NULL;NULL;NULL
O75496;Other proteins;NULL;NULL;NULL
O75530;Other proteins;NULL;NULL;NULL
O75604;Enzyme;NULL;NULL;NULL
O75608;Enzyme;NULL;NULL;NULL
O75747;Kinase;NULL;NULL;NULL
O75874;Enzyme;NULL;NULL;NULL
O75884;Enzyme;NULL;NULL;NULL
O94782;Kinase;NULL;NULL;NULL
O94925;Enzyme;NULL;NULL;NULL
O95237;Enzyme;NULL;NULL;NULL
O95271;Enzyme;NULL;NULL;NULL
O95398;Other proteins;NULL;NULL;NULL
O95461;Enzyme;NULL;NULL;NULL
O95470;Enzyme;NULL;NULL;NULL
O95551;Enzyme;NULL;NULL;NULL
O95749;Enzyme;NULL;NULL;NULL
O95870;Enzyme;NULL;NULL;NULL
P00338;Enzyme;NULL;NULL;NULL
P00352;Enzyme;NULL;NULL;NULL
P00374;Enzyme;NULL;NULL;NULL
P00390;Enzyme;NULL;NULL;NULL
P00480;Enzyme;NULL;NULL;NULL
P00491;Enzyme;NULL;NULL;NULL
P00813;Enzyme;NULL;NULL;NULL
P00915;Enzyme;NULL;NULL;NULL
P00918;Enzyme;NULL;NULL;NULL
P01008;Other proteins;NULL;NULL;NULL
P01106;Other proteins;NULL;NULL;NULL
P01112;Other proteins;NULL;NULL;NULL
P01215;Other proteins;NULL;NULL;NULL
P01308;Other proteins;NULL;NULL;NULL
P01375;Other proteins;NULL;NULL;NULL
P01579;Other proteins;NULL;NULL;NULL
P02144;Other proteins;NULL;NULL;NULL
P02545;Other proteins;NULL;NULL;NULL
P02753;Other proteins;NULL;NULL;NULL
P02766;Other proteins;NULL;NULL;NULL
P02768;Other proteins;NULL;NULL;NULL
P02774;Other proteins;NULL;NULL;NULL
P04035;Enzyme;NULL;NULL;NULL
P04054;Enzyme;NULL;NULL;NULL
P04062;Enzyme;NULL;NULL;NULL
P04066;Enzyme;NULL;NULL;NULL
P04156;Other proteins;NULL;NULL;NULL
P04183;Enzyme;NULL;NULL;NULL
P04271;Other proteins;NULL;NULL;NULL
P04278;Other proteins;NULL;NULL;NULL
P04406;Enzyme;NULL;NULL;NULL
P04637;Nuclear receptor;NULL;NULL;NULL
P04745;Enzyme;NULL;NULL;NULL
P04792;Other proteins;NULL;NULL;NULL
P04818;Enzyme;NULL;NULL;NULL
P05067;GPCR;NULL;NULL;NULL
P05113;Other proteins;NULL;NULL;NULL
P05121;Other proteins;NULL;NULL;NULL
P05164;Enzyme;NULL;NULL;NULL
P05186;Enzyme;NULL;NULL;NULL
P05187;Enzyme;NULL;NULL;NULL
P05230;Other proteins;NULL;NULL;NULL
P05231;Other proteins;NULL;NULL;NULL
P05362;Other proteins;NULL;NULL;NULL
P05412;Nuclear receptor;NULL;NULL;NULL
P06276;Enzyme;NULL;NULL;NULL
P06280;Enzyme;NULL;NULL;NULL
P06730;Other proteins;NULL;NULL;NULL
P06737;Enzyme;NULL;NULL;NULL
P06746;Enzyme;NULL;NULL;NULL
P06756;GPCR;NULL;NULL;NULL
P06865;Enzyme;NULL;NULL;NULL
P06881;Other proteins;NULL;NULL;NULL
P07148;Other proteins;NULL;NULL;NULL
P07202;Enzyme;NULL;NULL;NULL
P07237;Enzyme;NULL;NULL;NULL
P07306;GPCR;NULL;NULL;NULL
P07437;Other proteins;NULL;NULL;NULL
P07451;Enzyme;NULL;NULL;NULL
P07686;Enzyme;NULL;NULL;NULL
P07900;Other proteins;NULL;NULL;NULL
P08185;Other proteins;NULL;NULL;NULL
P08238;Other proteins;NULL;NULL;NULL
P08263;Enzyme;NULL;NULL;NULL
P08842;Enzyme;NULL;NULL;NULL
P09086;Nuclear receptor;NULL;NULL;NULL
P09211;Enzyme;NULL;NULL;NULL
P09382;Other proteins;NULL;NULL;NULL
P09429;Other proteins;NULL;NULL;NULL
P09467;Enzyme;NULL;NULL;NULL
P09471;Other proteins;NULL;NULL;NULL
P09488;Enzyme;NULL;NULL;NULL
P09848;Enzyme;NULL;NULL;NULL
P09874;Enzyme;NULL;NULL;NULL
P09884;Enzyme;NULL;NULL;NULL
P09917;Enzyme;NULL;NULL;NULL
P09923;Enzyme;NULL;NULL;NULL
P09936;Enzyme;NULL;NULL;NULL
P0DMV8;Other proteins;NULL;NULL;NULL
P10145;Other proteins;NULL;NULL;NULL
P10253;Enzyme;NULL;NULL;NULL
P10636;Other proteins;NULL;NULL;NULL
P10696;Enzyme;NULL;NULL;NULL
P11021;Other proteins;NULL;NULL;NULL
P11086;Enzyme;NULL;NULL;NULL
P11142;Other proteins;NULL;NULL;NULL
P11215;GPCR;NULL;NULL;NULL
P11216;Enzyme;NULL;NULL;NULL
P11217;Enzyme;NULL;NULL;NULL
P11308;Other proteins;NULL;NULL;NULL
P11387;Enzyme;NULL;NULL;NULL
P11388;Enzyme;NULL;NULL;NULL
P11413;Enzyme;NULL;NULL;NULL
P11926;Enzyme;NULL;NULL;NULL
P11940;Other proteins;NULL;NULL;NULL
P12004;Other proteins;NULL;NULL;NULL
P12104;Other proteins;NULL;NULL;NULL
P12268;Enzyme;NULL;NULL;NULL
P12314;Other proteins;NULL;NULL;NULL
P13612;GPCR;NULL;NULL;NULL
P14060;Enzyme;NULL;NULL;NULL
P14061;Enzyme;NULL;NULL;NULL
P14151;Other proteins;NULL;NULL;NULL
P14207;GPCR;NULL;NULL;NULL
P14324;Enzyme;NULL;NULL;NULL
P14410;Enzyme;NULL;NULL;NULL
P14550;Enzyme;NULL;NULL;NULL
P14555;Enzyme;NULL;NULL;NULL
P14618;Enzyme;NULL;NULL;NULL
P14635;Other proteins;NULL;NULL;NULL
P14679;Enzyme;NULL;NULL;NULL
P14735;Enzyme;NULL;NULL;NULL
P14859;Nuclear receptor;NULL;NULL;NULL
P14902;Enzyme;NULL;NULL;NULL
P14920;Enzyme;NULL;NULL;NULL
P15090;Other proteins;NULL;NULL;NULL
P15104;Enzyme;NULL;NULL;NULL
P15121;Enzyme;NULL;NULL;NULL
P15289;Enzyme;NULL;NULL;NULL
P15328;GPCR;NULL;NULL;NULL
P15428;Enzyme;NULL;NULL;NULL
P15559;Enzyme;NULL;NULL;NULL
P16050;Enzyme;NULL;NULL;NULL
P16083;Enzyme;NULL;NULL;NULL
P16109;Other proteins;NULL;NULL;NULL
P16152;Enzyme;NULL;NULL;NULL
P16278;Enzyme;NULL;NULL;NULL
P16581;Other proteins;NULL;NULL;NULL
P16662;Enzyme;NULL;NULL;NULL
P17405;Enzyme;NULL;NULL;NULL
P17516;Enzyme;NULL;NULL;NULL
P17707;Enzyme;NULL;NULL;NULL
P17752;Enzyme;NULL;NULL;NULL
P17861;Other proteins;NULL;NULL;NULL
P17931;Other proteins;NULL;NULL;NULL
P18054;Enzyme;NULL;NULL;NULL
P18405;Enzyme;NULL;NULL;NULL
P19174;Enzyme;NULL;NULL;NULL
P19224;Enzyme;NULL;NULL;NULL
P19320;Other proteins;NULL;NULL;NULL
P19440;Enzyme;NULL;NULL;NULL
P19801;Enzyme;NULL;NULL;NULL
P19971;Enzyme;NULL;NULL;NULL
P20248;Other proteins;NULL;NULL;NULL
P20292;Other proteins;NULL;NULL;NULL
P20839;Enzyme;NULL;NULL;NULL
